SEQN,Income from wages/salaries,Income from self employment,Income from Social Security or RR,Income from other disability pension,Income from retirement/survivor pension,Income from Supplemental Security,Income from state/county cash assistance,Income from interest/dividends or rental,Income from other sources,Monthly family income,Family monthly poverty level index,Family monthly poverty level category,Gender,Total household income,Total family income,A ratio of family income to poverty guidelines,In what country were you born?,Age,person's education level,Year
62445,1,2,2,2,2,1,2,2,2,4,0.73,1,2,6,6,1.08,1,42,4,2011.2012
62446,1,2,2,2,2,2,2,2,2,1,0,1,2,1,1,0,1,27,3,2011.2012
62447,1,2,2,2,2,2,2,2,1,7,1.94,3,2,6,6,1.43,1,39,4,2011.2012
62448,1,1,2,2,2,2,2,2,2,3,0.46,1,1,6,6,1.11,2,32,3,2011.2012
62449,1,2,2,2,2,2,2,2,2,10,3.01,3,2,14,14,3.36,2,45,5,2011.2012
62450,2,2,1,1,1,1,2,2,2,7,1.93,3,1,7,7,1.92,1,57,4,2011.2012
62452,1,2,2,2,2,2,2,2,2,3,0.78,1,1,4,4,0.81,2,39,3,2011.2012
62453,1,2,2,2,2,2,2,2,1,4,1.01,1,2,6,6,1.57,1,25,4,2011.2012
62454,1,2,2,2,2,2,2,2,2,4,1.11,1,2,5,5,1.32,2,49,2,2011.2012
62455,1,1,2,2,2,2,2,2,2,12,4.44,3,1,15,15,5,1,38,3,2011.2012
62456,1,2,2,2,2,2,2,2,2,7,2.1,3,1,14,14,3.93,1,47,5,2011.2012
62460,1,1,2,2,2,2,2,2,2,12,4.95,3,1,15,15,4.34,1,41,5,2011.2012
62461,1,2,2,2,2,2,2,2,2,7,2.38,3,2,6,6,1.98,1,29,3,2011.2012
62462,1,2,2,2,2,2,2,2,2,12,5,3,2,15,15,5,1,46,5,2011.2012
62463,1,2,2,2,2,2,2,2,2,2,0.19,1,1,5,5,0.65,1,44,1,2011.2012
62464,1,2,2,2,2,2,2,2,1,8,4.41,3,1,10,7,3.21,1,32,3,2011.2012
62465,1,2,2,2,2,2,2,1,2,8,2.42,3,2,14,14,4.21,1,44,5,2011.2012
62466,1,1,2,2,2,1,2,2,1,6,0.85,1,1,7,7,1.06,1,38,4,2011.2012
62467,2,1,2,2,2,2,2,2,2,5,1.83,2,1,5,5,2.15,1,65,5,2011.2012
62469,1,2,2,2,2,2,2,1,1,3,0.59,1,1,4,4,0.76,1,28,2,2011.2012
62470,1,2,2,2,2,2,2,2,2,3,0.3,1,1,6,6,0.8,1,34,3,2011.2012
62473,1,2,2,2,2,2,2,2,2,5,1.63,2,2,6,6,1.9,1,42,5,2011.2012
62474,2,2,1,2,1,2,2,2,1,3,1.13,1,2,6,3,1.13,1,69,4,2011.2012
62475,1,1,2,2,2,2,2,2,2,2,0.55,1,1,6,1,0.05,1,22,3,2011.2012
62476,2,1,2,2,2,2,2,2,2,5,2.2,3,1,6,3,1.29,1,40,3,2011.2012
62477,1,2,2,2,2,2,2,2,1,7,0.93,1,1,7,7,1.03,1,20,3,2011.2012
62478,2,2,2,2,2,2,2,2,2,2,0.33,1,1,1,1,0.03,1,24,3,2011.2012
62479,1,2,2,2,2,2,2,2,2,8,2,3,2,10,10,2.41,2,44,4,2011.2012
62480,1,2,2,2,2,2,2,2,2,11,4.11,3,1,14,14,4.12,1,36,5,2011.2012
62481,1,2,2,2,2,2,2,2,1,11,3.49,3,2,10,10,3.13,1,39,5,2011.2012
62482,1,2,2,2,2,2,2,2,1,5,1.07,1,2,10,6,1.34,1,32,3,2011.2012
62483,1,2,2,2,2,2,2,2,1,5,0.68,1,1,4,4,0.65,1,36,4,2011.2012
62484,1,2,2,2,2,2,2,2,2,5,0.92,1,2,6,6,1.22,1,42,4,2011.2012
62485,1,2,2,2,2,2,2,2,1,1,0.22,1,1,99,1,0.28,1,21,4,2011.2012
62486,1,1,1,2,2,2,2,2,2,7,1.38,2,2,8,8,1.72,1,37,3,2011.2012
62487,1,2,2,2,2,2,2,2,2,11,5,3,1,14,14,5,2,65,2,2011.2012
